positive,https://www.foxnews.com/,https://lees.com/jeans,0,female,juvenile
neutral,https://www.mirror.co.uk/news/,https://coach.com/purses,0,male,young
negative,https://www.nbcnews.com/,https://covergirl.co/lipsticks,0,male,middle-age
positive,https://www.examiner.com/,https://covergirl.co/makeup,0,non-binary,juvenile
negative,https://www.nj.com,https://dell.com/computers,1,female,young
positive,https://www.chicagotribune.com/,https://remington.com/shavers,1,male,senior
negative,https://www.msn.com/en-us/news,https://dell.com/laptops,0,male,young
positive,https://www.salon.com/,https://samsung.com/washers,1,male,juvenile
positive,https://www.cnet.com/,https://Ikea.com/sofas,0,male,senior
negative,https://www.buzzfeed.com/,https://InstantPot.com/cookers,0,female,senior
negative,https://www.independent.co.uk/,https://sony.com/televisions,0,female,young
positive,https://www.bostonglobe.com/,https://vitamix.com/blenders,1,female,senior
negative,https://www.boston.com,https://Lavazza.com/coffee,1,female,young
neutral,https://www.mirror.co.uk/news/,https://NordicTrack/elliptical,1,male,juvenile
neutral,https://www.bbc.com/,https://NordicTrack/elliptical,1,female,juvenile
neutral,https://www.bostonglobe.com/,https://docker.com/pants,1,female,juvenile
neutral,https://www.chicagotribune.com/,https://remington.com/shavers,1,female,senior
neutral,https://www.sfgate.com/,http://nemoK.co/blenders,0,male,juvenile
positive,https://mashable.com/,https://samsung.com/washers,1,female,middle-age
positive,https://www.vice.com/en_us,https://Starbucks.com/coffee,0,male,young
neutral,https://www.buzzfeed.com/,https://InstantPot.com/cookers,1,male,young
neutral,https://www.salon.com/,https://basilbasel.io/perfumes,1,male,middle-age
negative,https://mashable.com/,https://apple.com/ipads,0,female,young
positive,https://www.vox.com/,https://jaguar.co/perfumes,0,male,juvenile
neutral,https://www.boston.com,https://apple.com/ipads,0,female,juvenile
neutral,https://www.examiner.com/,https://sony.com/televisions,1,female,young
positive,https://www.nbcnews.com/,https://lg.com/tvs,1,male,young
positive,https://www.cnet.com/,https://Ikea.com/sofas,0,female,middle-age
positive,https://www.sfgate.com/,https://cougar.co/jeans,0,female,middle-age
negative,https://www.vox.com/,https://dell.com/computers,1,male,young
neutral,https://www.businessinsider.com/,https://remington.com/shavers,1,male,senior
positive,https://www.nj.com,https://apple.com/ipads,1,female,senior
neutral,https://www.latimes.com/,https://InstantPot.com/cookers,1,female,senior
positive,https://www.salon.com/,https://lg.com/tvs,1,female,middle-age
positive,https://www.theguardian.com/us,https://NordicTrack/elliptical,0,male,middle-age
neutral,https://nypost.com/,https://HamiltonBeach/blenders,0,female,senior
neutral,https://mashable.com/,https://samsung.com/washers,1,female,young
negative,https://www.chicagotribune.com/,https://maytag.com/dryers,0,male,juvenile
negative,https://mashable.com/,https://samsung.com/televisions,1,male,young
positive,https://www.buzzfeed.com/,https://samsung.com/washers,1,female,middle-age
neutral,https://www.theguardian.com/us,https://cougar.co/jeans,0,female,juvenile
negative,https://www.chicagotribune.com/,https://clinique.com/moisturizers,1,male,senior
neutral,https://www.bbc.com/,https://gillette.com/shavers,1,male,middle-age
neutral,https://abcnews.go.com/,https://NordicTrack/elliptical,0,male,young
negative,https://www.cnet.com/,https://Starbucks.com/coffee,0,male,senior
neutral,https://www.nbcnews.com/,https://lenova.com/laptops,1,female,middle-age
negative,https://www.vox.com/,https://covergirl.co/makeup,0,male,juvenile
negative,https://www.bostonglobe.com/,https://docker.com/pants,0,male,juvenile
positive,https://www.theguardian.com/us,https://remington.com/shavers,0,male,middle-age
negative,https://www.npr.org/,https://Starbucks.com/coffee,0,male,juvenile
positive,https://www.engadget.com/,https://dell.com/computers,1,female,senior
neutral,https://www.cnet.com/,https://tesla.com,1,male,young
positive,https://www.cnet.com/,https://Starbucks.com/coffee,0,female,young
neutral,https://mashable.com/,https://centrum.com/vitamins,0,male,middle-age
negative,https://www.nytimes.com/,https://covergirl.co/lipsticks,0,female,middle-age
negative,https://techcrunch.com/,https://sony.com/televisions,0,female,juvenile
negative,https://www.cnet.com/,https://Ikea.com/sofas,1,female,senior
positive,https://www.usnews.com/,https://samsung.com/televisions,1,female,juvenile
neutral,https://www.independent.co.uk/,https://basilbasel.io/perfumes,0,female,juvenile
neutral,https://abcnews.go.com/,https://NordicTrack/elliptical,1,female,young
negative,https://www.sfgate.com/,https://apple.com/ipads,1,female,senior
positive,https://www.foxnews.com/,https://coach.com/purses,1,male,middle-age
neutral,https://time.com/,https://centrum.com/vitamins,1,female,young
negative,https://www.latimes.com/,https://maytag.com/washers,1,male,young
neutral,https://www.independent.co.uk/,https://maytag.com/washers,1,male,senior
negative,https://www.bostonglobe.com/,https://covergirl.co/makeup,0,female,middle-age
positive,https://www.nbcnews.com/,https://NordicTrack.com/rowers,0,male,senior
negative,https://www.slate.com/,http://maybelline.com/lipstick,1,female,juvenile
neutral,https://www.nytimes.com/,https://NordicTrack.com/treadmills,1,male,young
neutral,https://www.huffingtonpost.com/,https://samsung.com/dryers,0,female,senior
negative,https://www.cnn.com/,https://kaai.com/handbags,1,female,senior
neutral,https://www.theatlantic.com/,http://maybelline.com/lipstick,0,female,middle-age
positive,https://www.thedailybeast.com/,https://docker.com/pants,0,female,senior
positive,https://www.nytimes.com/,https://lg.com/dryers,0,female,juvenile
positive,https://mashable.com/,https://samsung.com/televisions,1,female,juvenile
positive,https://www.usatoday.com/,https://covergirl.co/lipsticks,1,male,young
positive,https://www.theatlantic.com/,https://samsung.com/washers,1,male,juvenile
positive,https://www.nydailynews.com/,https://apple.com/computers,1,female,senior
neutral,https://www.usnews.com/,https://giorgio.com/perfumes,1,male,juvenile
negative,https://www.nytimes.com/,https://lees.com/jeans,0,female,middle-age
positive,https://www.cnn.com/,https://levis.com/jeans,1,female,middle-age
negative,https://www.cnn.com/,https://covergirl.co/makeup,1,male,senior
positive,https://www.latimes.com/,https://maytag.com/washers,0,female,juvenile
negative,https://www.cbsnews.com/,https://haier.com/refrigerators,0,female,young
positive,https://www.vice.com/en_us,https://maytag.com/dryers,0,male,young
negative,https://abcnews.go.com/,https://vitamix.com/blenders,0,female,juvenile
neutral,https://www.theatlantic.com/,https://bose.com/speakers,0,male,senior
negative,https://abcnews.go.com/,https://InstantPot.com/cookers,0,female,senior
neutral,https://www.nytimes.com/,https://jaguar.co/perfumes,1,female,middle-age
neutral,https://www.mirror.co.uk/news/,https://apple.com/computers,1,male,middle-age
positive,https://www.theatlantic.com/,https://broyhill.com/recliners,1,male,middle-age
positive,https://www.engadget.com/,https://coach.com/purses,0,female,middle-age
negative,https://www.bbc.com/,https://soundwave.ai/speakers,0,male,young
neutral,https://www.foxnews.com/,https://haier.com/refrigerators,0,male,juvenile
neutral,https://www.dallasnews.com/,https://InstantPot.com/cookers,1,female,juvenile
positive,https://www.independent.co.uk/,https://samsung.com/televisions,1,female,senior
positive,https://www.nytimes.com/,https://maytag.com/washers,0,female,juvenile
negative,https://www.boston.com,https://bose.com/speakers,0,male,juvenile
neutral,https://www.dailymail.co.uk/,http://nemoK.co/blenders,1,female,senior
neutral,https://www.vice.com/en_us,https://maytag.com/dryers,1,female,young
